Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,RD,RD%,SM,SM%,GA,GA%,EBITDA,EBITDA%,TTMFCF,TTMFCF%,Cash,Cash%,NI,NI%
ULTI US Equity,8730.4278,781.291,1035.461,1245.01,8.431440489,7.012335483,0.325320527,0.202372663,648.369007,0.626164585,150.583,0.145426047,269.781,0.260541923,122.119,0.117936842,114.412,0.11049378,172.06,0.166167533,155.685,0.150353321,46.96070882,0.045352465
PEGA US Equity,3887.6603,750.266,851.316,927.8,4.566647755,4.190192175,0.134685565,0.08984208,558.1769963,0.655663698,162.886,0.191334358,307.21,0.360864826,52.153,0.061261623,16.657,0.019566178,106.762,0.125408192,162.279,0.190621344,16.698,0.019614338
ZNGA US Equity,2858.7084,741.42,883.152,981.111,3.236938149,2.913746151,0.191162904,0.110919751,610.0060054,0.690714628,256.012,0.289884414,212.03,0.240083247,108.653,0.123028652,82.168,0.093039477,94.092,0.106541116,372.87,0.422203652,49.85421,0.056450317
BLKB US Equity,3579.8489,730.815,833.045,871.045,4.297305548,4.109832328,0.139884923,0.045615783,461.1050034,0.553517521,89.911,0.107930544,173.525,0.208302073,94.87,0.113883404,162.346,0.194882629,149.406,0.179349255,29.83,0.03580839,80.1554964,0.096219888
FEYE US Equity,3196.73,714.114,793.642,853.059,4.027924429,3.747372691,0.111365972,0.07486625,520.8410096,0.656266944,243.273,0.306527376,371.935,0.468643293,125.597,0.158253973,-128.273,-0.161625771,11.233,0.014153737,180.891,0.227925185,-257.4737082,-0.324420467
SPLK US Equity,12778.3399,668.435,1448.318,1866.881,8.822882751,6.844753308,1.166729749,0.288999377,1148.229988,0.792802401,301.114,0.207905999,808.417,0.55817645,159.143,0.109881255,-257.308,-0.177659879,293.408,0.202585344,545.947,0.376952437,-319.97311,-0.220927386
CVLT US Equity,2249.4696,595.126,709.598,761.195,3.170061922,2.955181787,0.192349183,0.072713001,605.5009927,0.853301436,94.164,0.132700487,410.727,0.578816457,87.575,0.123414948,20.122,0.028356901,88.67,0.124958075,330.784,0.466156894,-7.688189561,-0.010834571
RP US Equity,5264.8521,568.128,774.291,940.429,6.799578066,5.598351497,0.362881252,0.214567908,470.1429993,0.607191611,89.452,0.115527625,165.079,0.213200205,112.975,0.145907676,151.961,0.196258254,117.538,0.151800809,69.343,0.089556769,39.37560876,0.05085376
NTNX US Equity,6236.2366,503.41,1155.457,1366.167,5.397203531,4.564768875,1.295260325,0.182360746,769.4270002,0.665907083,313.777,0.271560949,649.657,0.562251127,86.401,0.074776474,-222.0058608,-0.192136843,58.033,0.050225149,305.975,0.264808643,-290.7982245,-0.251673775
AZPN US Equity,6894.6152,472.344,499.514,548.563,13.80264657,12.56850207,0.057521637,0.098193444,448.8700084,0.898613469,82.076,0.164311711,101.077,0.202350685,56.076,0.112261118,218.595,0.437615362,199.488,0.399364182,96.165,0.192517127,150.2725464,0.300837507
MDSO US EQUITY,4083.6497,463.381,609.726,719.867,6.697516097,5.672783584,0.315820027,0.180640156,460.9910041,0.756062566,138.564,0.227256177,126.273,0.207097942,94.324,0.154698996,82.144,0.13472281,44.371,0.072772032,237.325,0.389232213,48.94226463,0.080269276
TEAM US Equity,15390.5118,457.058,947.424,1254.649,16.24458722,12.26678681,1.072874777,0.324274031,769.6390129,0.812349078,415.776,0.438848921,187.99,0.198422248,151.242,0.159634968,43.518,0.045932972,292.775,0.309022148,1410.339,1.488603835,-301.38799,-0.318113105
INOV US Equity,2404.9516,427.588,476.027,635.75,5.052132757,3.782857413,0.113284283,0.335533489,327.9580031,0.688948322,27.383,0.057524048,34.103,0.071640894,149.948,0.314998939,100.641,0.21141868,3.204,0.006730711,208.944,0.438933086,7.217936265,0.015162872
GWRE US Equity,6390.3564,424.446,661.067,749.7,9.666730301,8.523884754,0.557481988,0.134075669,364.3600002,0.551169549,171.657,0.259666569,124.117,0.187752527,75.916,0.114838587,28.281,0.042780838,131.278,0.198585015,437.14,0.661264289,35.34196,0.053461994
CSOD US Equity,2710.8599,423.124,519.382,532.575,5.219395166,5.090099798,0.227493595,0.025401342,372.4000011,0.717005982,61.975,0.119324505,240.271,0.462609409,84.589,0.162864712,15.74,0.030305247,86.269,0.166099326,393.576,0.757777513,-40.479,-0.077936856
VEEV US EQUITY,11492.5267,409.221,766.224,912.071,14.99891246,12.60047376,0.872396578,0.190345121,534.7110057,0.697852072,132.051,0.172339942,130.898,0.17083516,60.391,0.078816377,188.203,0.245623995,274.413,0.358136785,320.183,0.417871275,162.8560096,0.212543603
SHOP US EQUITY,11763.5179,389.33,853.573,1210.891,13.78150188,9.714762022,1.192415175,0.418614459,481.9689999,0.564648835,135.997,0.159326736,225.694,0.264410894,67.719,0.079335921,-41.38,-0.048478572,-12.155,-0.014240141,141.677,0.165981117,-52.222,-0.061180473
RNG US Equity,5688.8769,379.724,581.474,724.625,9.78354475,7.850787511,0.531306949,0.246186416,443.330003,0.762424464,75.148,0.129237077,260.069,0.447258175,72.313,0.124361536,1.981681597,0.003408031,27.823,0.047849087,181.192,0.311608086,-22.127,-0.038053292
PFPT US Equity,5177.2319,375.496,614.046,792.194,8.431342114,6.535308144,0.635293052,0.290121587,439.7080034,0.716083165,129.803,0.2113897,258.837,0.421527052,52.735,0.085881188,-23.048,-0.037534647,136.896,0.222940952,286.072,0.465880406,-78.53818842,-0.127902777
ELLI US Equity,2538.9833,360.285,462.851,534.75,5.485530549,4.747981861,0.284680184,0.155339407,273.9890034,0.591959407,69.266,0.149650752,65.042,0.140524704,79.686,0.172163396,85.868,0.185519746,30.468,0.0658268,137.698,0.297499627,19.33749,0.041779082
EPAY US Equity,2781.2797,343.274,394.096,427.567,7.057365972,6.504897946,0.148050828,0.084931083,220.9660007,0.560690798,57.31,0.14542142,85.912,0.217997645,49.837,0.126459035,54.478,0.138235354,56.217,0.142647984,124.613,0.316199606,4.268979111,0.010832333
