Ticker,TTMRev,NTMRev,EV/TTM,TTMRevGr,NTMRevGr,GP%,R&D%,S&M%,G&A%,EBITDA%,Profit%
CBLK US Equity,162.014,226.63,8.916156011,0.393800704,0.398829731,0.780031355,0.321250015,0.661609491,0.137870801,-0.296943474,-0.344581332
TRHC US Equity,169.743,217.958,8.828778801,0.804586337,0.284047059,0.310098209,0.033156006,0.032649358,0.12478276,0.100940834,0.052382229
SPLK US Equity,1448.318,1866.881,8.822882751,1.166729749,0.288999377,0.792802401,0.207905999,0.55817645,0.109881255,-0.177659879,-0.220927386
PVTL US Equity,509.436,735.4,8.805808384,0.813752786,0.443557189,0.55167283,0.315931736,0.434180152,0.131918435,-0.286707261,-0.320972605
DBX US Equity,1106.8,1480.647,8.631782255,0.310132576,0.337772859,0.666696784,0.34360318,0.283700759,0.142121431,0.061528731,-0.04517528
PCTY US Equity,377.527,452.614,8.482147237,0.636434172,0.198891735,0.604804422,0.099714722,0.252919659,0.209924058,0.123201784,0.010140546
ULTI US Equity,1035.461,1245.01,8.431440489,0.325320527,0.202372663,0.626164585,0.145426047,0.260541923,0.117936842,0.11049378,0.045352465
PFPT US Equity,614.046,792.194,8.431342114,0.635293052,0.290121587,0.716083165,0.2113897,0.421527052,0.085881188,-0.037534647,-0.127902777
SSNC US Equity,2174.345,4355.393,8.405979502,0.467727934,1.003082767,0.412073985,0.070519628,0.054475716,0.055269058,0.344201587,0.119943849
GSKY US Equity,325.887,515.725,8.178043616,0.235052015,0.582527072,0.724726669,0.211226591,0.006744669,0.045647725,0.461107685,0.425509456
WIX US Equity,513.483,674.783,8.090397735,0.770002378,0.314129192,0.814915019,0.299201726,0.398133921,0.093841471,-0.054056317,-0.080099085
AVV LN Equity,662.1627529,964.041,7.726399858,2.286314291,0.455897354,0.697824874,0.233048419,0.256386521,0.11013869,0.246630922,0.117318495
FTNT US Equity,1631.185,1909.708,7.57903095,0.278916424,0.170748873,0.749036421,0.129117176,0.429764864,0.053863909,0.13105687,0.083799201
CYBR US Equity,294.682,349.253,7.200652568,0.360407732,0.185186065,0.845334966,0.143846587,0.430087348,0.103158659,0.115185183,0.091813351
MB US Equity,211.739,279.257,6.871662755,0.523072054,0.318873708,0.707418085,0.169123307,0.339214788,0.176967871,-0.054009471,-0.107506789
RP US Equity,774.291,940.429,6.799578066,0.362881252,0.214567908,0.607191611,0.115527625,0.213200205,0.145907676,0.196258254,0.05085376
MIME US Equity,282.143,349.183,6.753449137,0.989149823,0.237610006,0.732678096,0.136005501,0.429732441,0.131100187,0.062447057,-0.039696455
VRNS US Equity,242.528,285.279,6.750555812,0.474728803,0.17627243,0.900197083,0.195313531,0.560331178,0.110597539,-0.084031535,-0.105234365
MDSO US EQUITY,609.726,719.867,6.697516097,0.315820027,0.180640156,0.756062566,0.227256177,0.207097942,0.154698996,0.13472281,0.080269276
PRO US Equity,183.617,205.868,6.584861424,0.197950103,0.12118159,0.596355456,0.305097023,0.37096783,0.219674649,-0.240979866,-0.344764102
RPD US Equity,221.208,260.597,6.524921793,0.405057261,0.17806318,0.703654474,0.230271961,0.504470905,0.13694351,-0.213805072,-0.243521934
UPLD US Equity,121.48,163.429,6.502958512,0.624780986,0.345316101,0.669822183,0.125559763,0.126004281,0.191727033,0.210594337,-0.016795941
ALTR US Equity,362.102,403.583,6.47357623,0.155989018,0.11455612,0.692304933,0.257479937,0.220816234,0.242967451,-0.009593982,-0.233470127
TTWO US Equity,1762.658,3002.867,6.416587222,0.24684197,0.703601606,0.526222892,0.111407318,0.145287401,0.140599027,0.162910786,0.109413698
WK US Equity,225.61,255.92,6.029720314,0.262888618,0.134346882,0.713895663,0.302167457,0.373037543,0.17549754,-0.216065979,-0.238819201
MITK US Equity,55.426,77.417,5.505567784,0.597245036,0.396763252,0.870999175,0.188178833,0.261321402,0.204055858,0.116396359,0.05367517
UBI FP Equity,2027.470149,2646.601,5.492856902,0.454429349,0.30537113,0.828615372,0.398754196,0.19589767,0.0835207,0.46475073,0.101452416
ELLI US Equity,462.851,534.75,5.485530549,0.284680184,0.155339407,0.591959407,0.149650752,0.140524704,0.172163396,0.185519746,0.041779082
INST US Equity,184.837,231.289,5.470949539,0.667000361,0.251313319,0.70595174,0.261273446,0.452917976,0.168775732,-0.217694509,-0.265525842
NTNX US Equity,1155.457,1366.167,5.397203531,1.295260325,0.182360746,0.665907083,0.271560949,0.562251127,0.074776474,-0.192136843,-0.251673775
EBIX US Equity,430.337,547.333,5.291464596,0.442660597,0.27187065,0.636273421,0.078668578,0.037884263,0.139369843,0.337254291,0.246655528
INOV US Equity,476.027,635.75,5.052132757,0.113284283,0.335533489,0.688948322,0.057524048,0.071640894,0.314998939,0.21141868,0.015162872
APTI US Equity,212.478,249.063,4.782292284,0.32328158,0.172182532,0.692937619,0.190843287,0.4139205,0.130394676,-0.067484991,-0.10987947
EGHT US Equity,310.627,366.353,4.760393012,0.48386804,0.179398443,0.755378641,0.112021814,0.59249196,0.125278871,-0.043202941,0.136357472
BOX US Equity,554.708,668.683,4.659730525,0.832509646,0.205468463,0.727027563,0.246600013,0.546808411,0.152882237,-0.18767712,-0.270973197
CARB US EQUITY,265.089,329.138,4.656080411,0.280709806,0.241613194,0.71521263,0.174130198,0.342986695,0.16345831,0.133656998,-0.007129497
HDP US Equity,309.411,376.046,4.446307662,0.677378958,0.215360798,0.7125183,0.326730465,0.646997036,0.253003287,-0.527208147,-0.57156339
ATTU US Equity,72.801,86.84,4.182978256,0.335945242,0.192840758,0.852529496,0.192442412,0.493028942,0.071372646,0.049642175,-0.021799151
CLDR US Equity,411.064,487.033,3.994548051,1.475573328,0.184810638,0.680254181,0.524723644,0.726084016,0.208091684,-0.429358932,-0.448954299
FSCT US Equity,257.603,302.613,3.684080543,0.544002973,0.174726226,0.75474664,0.184139936,0.586534318,0.198778741,-0.322065349,-0.357573475
ZNGA US Equity,883.152,981.111,3.236938149,0.191162904,0.110919751,0.690714628,0.289884414,0.240083247,0.123028652,0.093039477,0.056450317
EXLS US Equity,807.305,961.457,2.407895653,0.176850032,0.19094642,0.341006187,0.022017983,0.066124947,0.127048637,0.12581462,0.082331015
GLUU US Equity,332.996,392.42,2.258037634,0.660157243,0.178452594,0.540853339,0.277540871,0.313385146,0.10337962,-0.128055592,-0.078209558
