Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,EBITDA,EBITDA%,Cash,NI,NI%
HDP US Equity,1375.7365,184.461,309.411,376.046,4.446307662,3.658426097,0.677378958,0.215360798,220.4609998,0.7125183,-163.124,-0.527208147,62.739,-176.848,-0.57156339
INST US Equity,1011.2339,110.88,184.837,231.289,5.470949539,4.372165991,0.667000361,0.251313319,130.4860018,0.70595174,-40.238,-0.217694509,35.693,-49.079,-0.265525842
TLND US Equity,1708.3059,105.984,176.485,232.175,9.679609599,7.357837407,0.665204182,0.315550897,135.336998,0.76684703,-30.724,-0.174088449,87.024,-34.695,-0.196588945
GLUU US Equity,751.9175,200.581,332.996,392.42,2.258037634,1.916103919,0.660157243,0.178452594,180.1019986,0.540853339,-42.642,-0.128055592,63.764,-26.04347,-0.078209558
BL US Equity,2165.1193,123.123,202.842,246.788,10.6739201,8.773195212,0.647474477,0.216651384,157.4909999,0.776422042,-13.472,-0.066416225,31.104,-33.92033273,-0.167225391
PCTY US Equity,3202.2396,230.701,377.527,452.614,8.482147237,7.074990168,0.636434172,0.198891735,228.3299991,0.604804422,46.512,0.123201784,137.193,3.82833,0.010140546
PFPT US Equity,5177.2319,375.496,614.046,792.194,8.431342114,6.535308144,0.635293052,0.290121587,439.7080034,0.716083165,-23.048,-0.037534647,286.072,-78.53818842,-0.127902777
HUBS US Equity,4738.1673,270.967,441.399,558.067,10.73443143,8.4903198,0.62897696,0.264314147,354.1050049,0.802233365,-24.50381013,-0.055513968,87.68,-55.8441,-0.126516145
NOW US Equity,30069.1009,1390.513,2264.818,2957.73,13.27660805,10.16627647,0.628764348,0.305945997,1706.540017,0.753499847,59.362,0.026210495,726.495,-89.49837402,-0.039516806
ZEN US Equity,5616.1095,311.999,507.885,667.969,11.05783691,8.40773973,0.627841756,0.315197338,356.0180052,0.700981532,-86.04513924,-0.169418548,109.37,-115.405,-0.227226636
UPLD US Equity,789.9794,74.767,121.48,163.429,6.502958512,4.833777359,0.624780986,0.345316101,81.36999881,0.669822183,25.583,0.210594337,22.326,-2.040370877,-0.016795941
SEND US Equity,1346.6967,79.929,128.289,156.166,10.49736688,8.623494871,0.60503697,0.217298443,95.23400032,0.742339564,4.502,0.035092642,175.496,-4.702,-0.036651623
EVBG US Equity,1455.3159,76.846,122.828,163.084,11.84840509,8.923719678,0.598365562,0.32774286,85.02600006,0.692236298,-24.665,-0.200809262,102.754,-39.18864,-0.319052985
MITK US Equity,305.1516,34.701,55.426,77.417,5.505567784,3.941661392,0.597245036,0.396763252,48.27600027,0.870999175,6.451384615,0.116396359,9.086,2.975,0.05367517
SQ US EQUITY,28442.0455,1708.721,2684.735,1858.064,10.59398618,15.30735513,0.571195649,-0.307915306,1029.431997,0.38343896,-3.812,-0.001419879,696.474,-55.131,-0.020534988
APPF US Equity,2014.3187,105.586,165.38,205.85,12.17994135,9.785371387,0.566306139,0.244709155,102.4489997,0.619476356,31.149,0.188348047,16.109,18.07134,0.109271617
GWRE US Equity,6390.3564,424.446,661.067,749.7,9.666730301,8.523884754,0.557481988,0.134075669,364.3600002,0.551169549,28.281,0.042780838,437.14,35.34196,0.053461994
APPN US Equity,1409.3098,132.923,206.789,220.108,6.815206805,6.402810439,0.555705183,0.064408648,128.8959999,0.623321356,-30.616,-0.148054297,73.758,-33.673,-0.162837482
FSCT US Equity,949.0302,166.841,257.603,302.613,3.684080543,3.136118409,0.544002973,0.174726226,194.4249987,0.75474664,-82.965,-0.322065349,63.009,-92.112,-0.357573475
RHT US Equity,19172.8344,2052.23,3156.587,3599.182,6.073912869,5.326997746,0.538125356,0.140213148,2690.573958,0.852368067,602.686,0.190929634,1724.132,417.0218655,0.132111634
RNG US Equity,5688.8769,379.724,581.474,724.625,9.78354475,7.850787511,0.531306949,0.246186416,443.330003,0.762424464,1.981681597,0.003408031,181.192,-22.127,-0.038053292
MB US Equity,1454.999,139.021,211.739,279.257,6.871662755,5.210250773,0.523072054,0.318873708,149.787998,0.707418085,-11.43591139,-0.054009471,232.019,-22.76338,-0.107506789
PAYC US Equity,7407.266,329.141,498.028,621.76,14.87319187,11.91338459,0.51311444,0.248443863,416.4860044,0.836270259,148.133,0.2974391,46.077,104.5627997,0.209953657
TENB US Equity,2961.8824,124.371,187.727,294.177,15.77760471,10.06836836,0.509411358,0.567046829,162.139,0.863695686,-36.068,-0.192130061,27.21,-41.022,-0.218519446
BR US Equity,14343.2274,2897,4329.9,4491.571,3.312600152,3.193365395,0.494615119,0.037338276,1160.299985,0.267973853,810.1,0.18709439,263.9,445.4082685,0.102868027
EGHT US Equity,1478.7066,209.336,310.627,366.353,4.760393012,4.036289044,0.48386804,0.179398443,234.641001,0.755378641,-13.42,-0.043202941,31.703,42.35631249,0.136357472
VRNS US Equity,1637.1988,164.456,242.528,285.279,6.750555812,5.738939074,0.474728803,0.17627243,218.322998,0.900197083,-20.38,-0.084031535,56.689,-25.52228,-0.105234365
SDL LN Equity,503.5813,264.7,390.2106469,423.655,1.290537057,1.188658932,0.47416187,0.085708459,208.1033695,0.533310332,41.08189413,0.105281326,22.7,28.18756716,0.072236797
SSNC US Equity,18277.4995,1481.436,2174.345,4355.393,8.405979502,4.196521301,0.467727934,1.003082767,895.9910095,0.412073985,748.413,0.344201587,64.057,260.7993081,0.119943849
ADBE US Equity,117401.54,5854.43,8571.978,10315.565,13.69596842,11.38100918,0.464186607,0.203405445,7465.368058,0.870903782,3089.81,0.360454728,2306.072,2415.50686,0.281791071
GLOB US Equity,1683.934,322.856,472.712,564.257,3.562283166,2.984338697,0.464157395,0.193659141,176.8739985,0.374168624,71.51957143,0.151296289,52.525,48.06289,0.101674783
UBI FP Equity,11136.6034,1393.997,2027.470149,2646.601,5.492856902,4.207889062,0.454429349,0.30537113,1679.992931,0.828615372,942.2682308,0.46475073,746.939,205.6917448,0.101452416
MODN US Equity,471.5153,106.971,155.491,150.45,3.032428243,3.134033234,0.453580877,-0.032419883,91.64799983,0.589410318,-12.937,-0.083200957,56.704,-30.89145,-0.198670341
SCWX US Equity,1118.7239,339.522,493.419,540.767,2.267289869,2.068772503,0.453275487,0.095959013,254.2019963,0.515184856,-32.902,-0.066681664,101.539,-51.78112734,-0.104943521
EBIX US Equity,2277.113,298.294,430.337,547.333,5.291464596,4.160379513,0.442660597,0.27187065,273.8119951,0.636273421,145.133,0.337254291,63.895,106.145,0.246655528
ALRM US Equity,2086.6888,261.106,375.999,410.812,5.549719015,5.079425139,0.440024358,0.092588012,251.4160004,0.668661354,78.801,0.209577685,96.329,54.19519196,0.144136532
QTWO US Equity,2059.2656,150.224,215.201,265.752,9.569033601,7.748824468,0.432534082,0.234901325,106.5359994,0.495053459,-7.596,-0.035297234,57.961,-24.3462,-0.113132374
RPD US Equity,1443.3649,157.437,221.208,260.597,6.524921793,5.538685787,0.405057261,0.17806318,155.653999,0.703654474,-47.29539241,-0.213805072,51.562,-53.869,-0.243521934
CBLK US Equity,1444.5421,116.239,162.014,226.63,8.916156011,6.374010943,0.393800704,0.398829731,126.376,0.780031355,-48.109,-0.296943474,36.073,-55.827,-0.344581332
FIVN US Equity,2066.1927,162.09,225.509,266.108,9.162351392,7.76448923,0.391257943,0.180032726,133.1329997,0.59036668,10.643,0.047195456,68.947,-2.356,-0.010447477
WNS US Equity,2436.4575,562.179,777.6,824,3.133304398,2.956865898,0.38318934,0.059670782,266.3000015,0.342463994,119.859,0.15413966,99.829,92.1,0.118441358
RP US Equity,5264.8521,568.128,774.291,940.429,6.799578066,5.598351497,0.362881252,0.214567908,470.1429993,0.607191611,151.961,0.196258254,69.343,39.37560876,0.05085376
CYBR US Equity,2121.9027,216.613,294.682,349.253,7.200652568,6.075546094,0.360407732,0.185186065,249.1049985,0.845334966,33.943,0.115185183,161.261,27.05574203,0.091813351
WEX US Equity,9911.8019,1018.46,1381.012,1551.74,7.177201864,6.387540374,0.355980598,0.123625283,1037.137988,0.750998534,541.748,0.39228334,508.072,160.820745,0.116451374
MGIC US Equity,374.9058,201.646,271.697,301,1.379867279,1.245534219,0.347395931,0.107851761,87.58700073,0.322370143,41.934,0.154341049,76.076,18.1941428,0.066964828
CRW LN Equity,877.1806,49.846,67.067,79,13.07916859,11.1035519,0.345484091,0.177926551,63.66000008,0.949200055,20.859,0.311017341,52.833,15.8051,0.235661354
SYMC US Equity,14628.1115,3600,4827,4770.038,3.030476797,3.066665611,0.340833333,-0.011800704,3803,0.787859954,1276,0.264346385,1774,412.3632917,0.085428484
ATTU US Equity,304.525,54.494,72.801,86.84,4.182978256,3.506736527,0.335945242,0.192840758,62.06499983,0.852529496,3.614,0.049642175,29.087,-1.587,-0.021799151
