Company,EV/NTM,TTMRevGr,NTMRevGr,GP%,SM%,EBITDA%,Cash%
RPD US Equity,5.538685787,0.405057261,0.17806318,0.703654474,0.504470905,-0.213805072,0.233092836
CRW LN Equity,11.1035519,0.345484091,0.177926551,0.949200055,0.12311569,0.311017341,0.787764474
VRNS US Equity,5.738939074,0.474728803,0.17627243,0.900197083,0.560331178,-0.084031535,0.233742083
FSCT US Equity,3.136118409,0.544002973,0.174726226,0.75474664,0.586534318,-0.322065349,0.244597307
APTI US Equity,4.079818761,0.32328158,0.172182532,0.692937619,0.4139205,-0.067484991,0.259175068
FTNT US Equity,6.473660685,0.278916424,0.170748873,0.749036421,0.429764864,0.13105687,0.497187014
CSU CN Equity,4.3292629,0.315012663,0.164257841,0.880066133,0.064733952,0.253075757,0.174972759
ELLI US Equity,4.747981861,0.284680184,0.155339407,0.591959407,0.140524704,0.185519746,0.297499627
RHT US Equity,5.326997746,0.538125356,0.140213148,0.852368067,0.379706309,0.190929634,0.546201324
AGYS US Equity,2.265671271,0.059285845,0.13566846,0.514784087,0.141762482,0.05235212,0.313273517
WK US Equity,5.315587684,0.262888618,0.134346882,0.713895663,0.373037543,-0.216065979,0.267421657
GWRE US Equity,8.523884754,0.557481988,0.134075669,0.551169549,0.187752527,0.042780838,0.661264289
MOBL US Equity,1.679832599,0.106407769,0.126432852,0.830119818,0.531937652,-0.259366264,0.473250666
PRO US Equity,5.873144442,0.197950103,0.12118159,0.596355456,0.37096783,-0.240979866,0.874129302
ALLT US Equity,1.180700233,-0.017472806,0.116871269,0.681281674,0.431535083,-0.097116792,0.172789729
DSG CN Equity,8.272824723,0.404188267,0.116516852,0.728523857,0.127530653,0.32042038,0.135295363
EA US Equity,4.792906455,0.100545951,0.115125052,0.724059529,0.132492766,0.237908227,0.88011575
ALTR US Equity,5.808210207,0.155989018,0.11455612,0.692304933,0.220816234,-0.009593982,0.108292691
ZNGA US Equity,2.913746151,0.191162904,0.110919751,0.690714628,0.240083247,0.093039477,0.422203652
OSPN US Equity,2.689039651,0.04323363,0.110902312,0.71395388,0.29406135,0.092239978,0.392093431
MGIC US Equity,1.245534219,0.347395931,0.107851761,0.322370143,0.100273466,0.154341049,0.280003092
LPSN US Equity,4.691453097,0.049398731,0.107235739,0.746432593,0.388841837,0.041850597,0.240029258
ATHN US Equity,3.441268246,0.188013667,0.099755927,0.541702286,0.196035756,0.253245239,0.128332686
AZPN US Equity,12.56850207,0.057521637,0.098193444,0.898613469,0.202350685,0.437615362,0.192517127
SCWX US Equity,2.068772503,0.453275487,0.095959013,0.515184856,0.306719036,-0.066681664,0.205786563
ALRM US Equity,5.079425139,0.440024358,0.092588012,0.668661354,0.115665201,0.209577685,0.25619483
PEGA US Equity,4.190192175,0.134685565,0.08984208,0.655663698,0.360864826,0.019566178,0.190621344
AMBR US Equity,2.912011201,0.120361861,0.089157739,0.54081939,0.274824418,-0.052773514,0.114199619
SPSC US Equity,5.230895242,0.213342301,0.088234918,0.666298567,0.312514657,0.106347508,0.524987955
EPAY US Equity,6.504897946,0.148050828,0.084931083,0.560690798,0.217997645,0.138235354,0.316199606
LOGM US Equity,3.3262406,2.362920599,0.081155047,0.781623121,0.306998947,0.344775565,0.223331003
JCOM US Equity,3.411408308,0.325137403,0.080987788,0.840968727,0.285104635,0.356364127,0.302928422
EGAN US Equity,2.998347333,-0.116295495,0.077772522,0.635669672,0.288400998,0.026946352,0.187547915
PTC US Equity,8.001533593,0.083425907,0.075705501,0.732172417,0.301813653,0.138202112,0.210366251
FEYE US Equity,3.747372691,0.111365972,0.07486625,0.656266944,0.468643293,-0.161625771,0.227925185
IMPV US Equity,4.178051973,0.300852697,0.074856766,0.797739638,0.442356046,0.02051032,0.55967583
CVLT US Equity,2.955181787,0.192349183,0.072713001,0.853301436,0.578816457,0.028356901,0.466156894
SNPS US Equity,4.092080269,0.247711073,0.071619985,0.764383236,0.181712554,0.215145139,0.34683685
BNFT US Equity,4.099601904,0.080677995,0.069892132,0.500908144,0.274746193,-0.044693393,0.219444004
APPN US Equity,6.402810439,0.555705183,0.064408648,0.623321356,0.396375049,-0.148054297,0.356682415
ACIW US Equity,3.34014066,-0.009213474,0.06379242,0.551417799,0.108270986,0.215462122,0.069959405
CDNS US Equity,5.802232114,0.139757379,0.063581034,0.88264761,0.202503606,0.250359197,0.332426202
AMSWA US Equity,2.206600333,-0.005909263,0.060804127,0.540824616,0.182465376,0.149793315,0.466312182
DATA US Equity,7.069414771,0.200528936,0.060124762,0.871179509,0.521214905,-0.124851803,0.632451255
ECOM US Equity,1.998142063,0.133454064,0.048298222,0.790221885,0.494867778,-0.033832916,0.41636076
NUAN US Equity,3.198654505,0.030231366,0.047487301,0.564015421,0.198289589,0.171746386,0.15736612
ABT CN Equity,2.101908701,0.054317624,0.04590989,0.852313866,0.436997142,0.192632548,0.362703733
BLKB US Equity,4.109832328,0.139884923,0.045615783,0.553517521,0.208302073,0.194882629,0.03580839
RUBI US Equity,0.56028755,-0.568213758,0.036360004,0.514891956,0.43114241,-0.362750974,0.637981554
QADB US Equity,2.01507684,0.181963779,0.034475094,0.514730021,0.229492922,0.020635728,0.447679889
CHKP US Equity,6.626958713,0.089373405,0.033457798,0.895454074,0.228489025,0.500626012,0.129163642
CA US Equity,4.144532307,0.030559006,0.033148505,0.854869817,0.255785921,0.347155256,0.820877531
OTEX CN Equity,3.851812577,0.543250624,0.028701273,0.662049895,0.188041095,0.352205371,0.242587402
CTXS US Equity,4.825293084,0.06295832,0.028465389,0.847022308,0.345940415,0.306660606,0.383425041
DMRC US Equity,10.11253519,0.128160418,0.025665013,0.653501998,0.676645245,-1.114374034,1.660416497
CSOD US Equity,5.090099798,0.227493595,0.025401342,0.717005982,0.462609409,0.030305247,0.757777513
