Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,RD,RD%,SM,SM%,GA,GA%,EBITDA,EBITDA%,TTMFCF,Cash,NI,NI%
MOBL US Equity,343.1898,163.926,181.369,204.3,1.892218626,1.679832599,0.106407769,0.126432852,150.5580013,0.830119818,75.35,0.415451373,96.477,0.531937652,28.091,0.154883139,-47.041,-0.259366264,14.708,85.833,-51.76737,-0.285425679
DOMO US Equity,1157.5277,#N/A N/A,108.524,148.155,10.66609874,7.812950626,#VALUE!,0.365181895,63.605,0.586091556,78.261,0.721140024,131.802,1.214496333,29.323,0.270198297,-158.636,-1.461759611,#N/A N/A,61.972,-176.562,-1.626939663
ATEN US Equity,290.68,227.297,231.35,233.3,1.256451264,1.245949421,0.017831296,0.008428788,179.7979994,0.777168789,62.991,0.272275773,101.36,0.438124054,28.132,0.121599308,-9.25556962,-0.040006785,#N/A N/A,46.567,-19.502,-0.08429652
SSTI US Equity,388.2289,15.507,29.199,39.659,13.29596562,9.789175219,0.882956084,0.358231446,15.93399978,0.545703612,4.159,0.142436385,6.179,0.211616836,5.595,0.191616151,0.914,0.031302442,-10.176,19.567,-4.58801,-0.157129011
MGIC US Equity,374.9058,201.646,271.697,301,1.379867279,1.245534219,0.347395931,0.107851761,87.58700073,0.322370143,6.942,0.025550521,27.244,0.100273466,22.837,0.084053192,41.934,0.154341049,23.638,76.076,18.1941428,0.066964828
AGYS US Equity,328.0692,120.366,127.502,144.8,2.573051403,2.265671271,0.059285845,0.13566846,65.63600069,0.514784087,27.936,0.219102445,18.075,0.141762482,24.028,0.188451946,6.675,0.05235212,-4.223,39.943,-5.38838,-0.042261141
AMSWA US Equity,265.0127,113.889,113.216,120.1,2.340770739,2.206600333,-0.005909263,0.060804127,61.22999969,0.540824616,11.877,0.104905667,20.658,0.182465376,16.057,0.141826244,16.959,0.149793315,8.926,52.794,9.601,0.084802501
ATTU US Equity,304.525,54.494,72.801,86.84,4.182978256,3.506736527,0.335945242,0.192840758,62.06499983,0.852529496,14.01,0.192442412,35.893,0.493028942,5.196,0.071372646,3.614,0.049642175,6.449,29.087,-1.587,-0.021799151
ECOM US Equity,268.7581,113.2,128.307,134.504,2.094648772,1.998142063,0.133454064,0.048298222,101.3909994,0.790221885,21.868,0.170434972,63.495,0.494867778,27.8,0.216667836,-4.341,-0.033832916,-1.639,53.422,-10.437,-0.081343964
MITK US Equity,305.1516,34.701,55.426,77.417,5.505567784,3.941661392,0.597245036,0.396763252,48.27600027,0.870999175,10.43,0.188178833,14.484,0.261321402,11.31,0.204055858,6.451384615,0.116396359,4.073,9.086,2.975,0.05367517
DMRC US Equity,255.0078,21.793,24.586,25.217,10.37207354,10.11253519,0.128160418,0.025665013,16.06700011,0.653501998,15.435,0.627796307,16.636,0.676645245,9.68,0.393720003,-27.398,-1.114374034,-21.484,40.823,-28.76,-1.169771415
AMBR US Equity,259.9698,73.16119,81.967007,89.275,3.171639535,2.912011201,0.120361861,0.089157739,44.32934675,0.54081939,14.941394,0.182285465,22.526535,0.274824418,15.263297,0.186212692,-4.325687,-0.052773514,3.94418,9.360601,-10.418129,-0.127101493
ABT CN Equity,205.8189,88.798508,93.621832,97.92,2.198407098,2.101908701,0.054317624,0.04590989,79.79518557,0.852313866,20.054992,0.21421277,40.912473,0.436997142,12.358472,0.132004168,18.034612,0.192632548,11.063756,33.956988,5.13882678,0.054889193
ALLT US Equity,117.0865,90.369,88.79,99.167,1.318690168,1.180700233,-0.017472806,0.116871269,60.49099981,0.681281674,21.852,0.246108796,38.316,0.431535083,10.696,0.120464016,-8.623,-0.097116792,-1.471,15.342,-12.355,-0.139148553
SRT US Equity,241.4404,307.2,267.303,263,0.903246129,0.918024335,-0.129873047,-0.016097837,24.04399984,0.089950355,0,0,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,2.218,0.0082977,-8.641,1.456,-11.09078,-0.041491416
EGAN US Equity,198.1158,69.375,61.307,66.075,3.231536366,2.998347333,-0.116295495,0.077772522,38.9710006,0.635669672,14.711,0.239956286,17.681,0.288400998,7.567,0.123427994,1.652,0.026946352,3.754,11.498,-1.9897,-0.032454695
