Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,RD,RD%,SM,SM%,GA,GA%,EBITDA,EBITDA%,TTMFCF,Cash,NI,NI%
MSFT US Equity,759109.3799,91154,110360,122897.462,6.878482964,6.176770192,0.210698379,0.113605129,72007,0.652473722,14726,0.133436028,17469,0.158291047,4754,0.043077202,45319,0.410646974,31999,11946,27500.14,0.249185756
ORCL US Equity,178833.2904,37047,39836,40369.717,4.489238136,4.429887145,0.075282749,0.013397856,31737,0.796691435,6091,0.152901898,8431,0.211642735,1289,0.032357666,17054,0.428105231,13896,21620,11273.48041,0.282997299
ADBE US Equity,117401.54,5854.43,8571.978,10315.565,13.69596842,11.38100918,0.464186607,0.203405445,7465.368058,0.870903782,1224.059,0.14279773,2197.592,0.2563693,624.706,0.072877695,3089.81,0.360454728,3512.831,2306.072,2415.50686,0.281791071
CRM US Equity,103894.1999,6667.216,11817.844,14404.651,8.79129898,7.212545441,0.772530543,0.218889926,8749.543945,0.740367189,1553.073,0.131417626,4829.291,0.408643996,1088.358,0.092094463,1308.092,0.110687872,2552.561,2543,482.4788756,0.040826303
VMW US Equity,49272.5084,7093,8467,9081.755,5.819358498,5.42543907,0.193712111,0.072606,7285,0.860399197,1755,0.207275304,2593,0.306247786,654,0.077241054,2515,0.29703555,3221,5971,3395.535324,0.401031691
INTU US Equity,52287.7195,4694,5964,6610.538,8.767223256,7.909752504,0.270558159,0.108406774,4992,0.837022133,1186,0.198859826,1634,0.273977197,664,0.111334675,1823,0.305667337,1938,1464,1268.956279,0.212769329
NOW US Equity,30069.1009,1390.513,2264.818,2957.73,13.27660805,10.16627647,0.628764348,0.305945997,1706.540017,0.753499847,377.518,0.166688008,946.617,0.417966035,210.533,0.092958021,59.362,0.026210495,535.26,726.495,-89.49837402,-0.039516806
ADSK US Equity,28484.2874,2504.1,2240.7,2807.2,12.71222716,10.14686784,-0.105187493,0.252822779,1953.500006,0.871825771,755.5,0.33717142,1087.3,0.485250145,305.2,0.136207435,-131.1,-0.058508502,84.1,1078,-301.3671968,-0.134496897
WDAY US Equity,25456.8783,1156.69,2428.232,3119.846,10.48370926,8.159658618,1.099293674,0.284822043,1715.524027,0.706490989,910.584,0.374998765,683.367,0.281425745,222.909,0.091798889,-107.837,-0.044409677,288.999,1134.355,-334.8606536,-0.137903073
RHT US Equity,19172.8344,2052.23,3156.587,3599.182,6.073912869,5.326997746,0.538125356,0.140213148,2690.573958,0.852368067,578.33,0.183213705,1198.576,0.379706309,239.316,0.075814796,602.686,0.190929634,941.419,1724.132,417.0218655,0.132111634
CA US Equity,17761.3932,4025,4148,4285.5,4.281917358,4.144532307,0.030559006,0.033148505,3546,0.854869817,642,0.154773385,1061,0.255785921,406,0.097878496,1440,0.347155256,1064,3405,788.0451235,0.189981949
